entity,n-revs
build/classes/proyectoconstru/conexion/ConsultaAutentificacion.class,2
build/classes/proyectoconstru/VentanaLogin/fondo.png,2
build/classes/proyectoconstru/interfazAdministrador/banner.png,2
src/proyectoconstru/interfazAdministrador/EditarProductoEnFacturaController.java,2
build/classes/modelodedatos/Administrador.class,2
dist/lib/mysql-connector-java-5.1.46.jar,2
build/classes/modelodedatos/Factura.class,2
build/classes/proyectoconstru/VentanaCajero/Interfaz.class,2
src/modelodedatos/Factura.java,2
build/classes/modelodedatos/FuncionDeReporte.class,2
nbproject/private/configs/Run_in_Browser.properties,2
build/classes/modelodedatos/Boleta.class,2
build/classes/modelodedatos/DetalleProducto.class,2
build/classes/proyectoconstru/VentanaCajero/banner.png,2
src/modelodedatos/Usuario.java,2
src/proyectoconstru/VentanaCajero/VentanaEdicion.fxml,2
src/proyectoconstru/interfazAdministrador/theme.css,2
src/proyectoconstru/interfazAdministrador/ListarProductosBajaStock.fxml,2
build/classes/modelodedatos/Proveedor.class,2
src/proyectoconstru/VentanaLogin/fondo.png,2
build/classes/proyectoconstru/VentanaLogin/test.class,2
build/classes/proyectoconstru/interfazAdministrador/theme.css,2
build/classes/proyectoconstru/VentanaCajero/theme.css,2
src/modelodedatos/Producto.java,2
src/proyectoconstru/interfazAdministrador/ListarProductosProveedorController.java,2
build/classes/modelodedatos/Producto.class,2
src/proyectoconstru/logicaCajero/Cajero.java,2
src/proyectoconstru/VentanaLogin/theme.css,2
src/proyectoconstru/logicaCajero/Lista.java,2
build/classes/modelodedatos/Cajero.class,2
build/classes/proyectoconstru/VentanaLogin/theme.css,2
src/proyectoconstru/VentanaCajero/Interfaz.java,1
test/AdministradorTest.java,1
nbproject/configs/Run_in_Browser.properties,1
src/proyectoconstru/interfazAdministrador/ListarProductosProveedor.fxml,1
nbproject/genfiles.properties,1
src/proyectoconstru/conexion/ConsultaReporte.java,1
src/modelodedatos/Administrador.java,1
README.md,1
src/modelodedatos/DetalleReporteDeVentas.java,1
src/modelodedatos/FuncionDeReporte.java,1
extras/sayonara_bd_v2.psc,1
nbproject/configs/Run_as_WebStart.properties,1
src/proyectoconstru/interfazAdministrador/test.java,1
src/modelodedatos/ReporteDeVentas.java,1
src/proyectoconstru/interfazAdministrador/AgregarProductoEnFactura.fxml,1
nbproject/build-impl.xml,1
src/proyectoconstru/conexion/Consulta.java,1
src/proyectoconstru/interfazAdministrador/banner.png,1
src/proyectoconstru/interfazAdministrador/EditarProductoEnFactura.fxml,1
src/modelodedatos/ReporteDeComprasProveedores.java,1
src/proyectoconstru/conexion/ConsultaAdministrador.java,1
src/proyectoconstru/interfazAdministrador/ReporteDiario.fxml,1
src/modelodedatos/Proveedor.java,1
src/proyectoconstru/VentanaLogin/test.java,1
build.xml,1
manifest.mf,1
src/modelodedatos/Cajero.java,1
test/AutentificacionTest.java,1
src/modelodedatos/DetalleReporteDeComprasProveedores.java,1
src/proyectoconstru/VentanaCajero/banner.png,1
nbproject/jfx-impl.xml,1
nbproject/project.xml,1
