language,filename,blank,comment,code
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\FormularioAgregarProveedor.fxml,2,0,45
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\FormularioAgregarProducto.fxml,2,0,43
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\VentaDiaria.fxml,2,0,43
Java,.\Proyecto-sayonara-constru\test\ReporteTest.java,11,9,42
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\ListarProductosProveedor.fxml,2,0,41
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\AnularBoleta.fxml,2,0,40
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\ListarProductos.fxml,2,0,40
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\ListarProveedores.fxml,2,0,39
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\ListarProductosBajaStock.fxml,2,0,39
Java,.\Proyecto-sayonara-constru\test\CajeroTest.java,11,10,38
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\ProyectoConstru.java,5,12,33
Java,.\Proyecto-sayonara-constru\test\FacturaTest.java,7,10,32
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\ListarCajeros.fxml,2,0,30
CSS,.\Proyecto-sayonara-constru\src\proyectoconstru\VentanaCajero\theme.css,4,0,29
CSS,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\theme.css,5,3,26
XML,.\Proyecto-sayonara-constru\nbproject\project.xml,0,0,25
FXML,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\VentanaAdministrador.fxml,2,0,24
Java,.\Proyecto-sayonara-constru\src\modelodedatos\Cajero.java,12,9,24
Java,.\Proyecto-sayonara-constru\test\AdministradorTest.java,4,9,22
Java,.\Proyecto-sayonara-constru\test\AutentificacionTest.java,8,9,22
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\VentanaLogin\test.java,5,12,21
Java,.\Proyecto-sayonara-constru\src\modelodedatos\ValidacionRut.java,13,14,21
Java,.\Proyecto-sayonara-constru\test\ValidacionRutTest.java,6,9,20
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\VentanaCajero\Interfaz.java,5,12,19
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\interfazAdministrador\test.java,9,12,18
Java,.\Proyecto-sayonara-constru\src\modelodedatos\ReporteDeVentas.java,8,14,17
Java,.\Proyecto-sayonara-constru\src\modelodedatos\ReporteDeComprasProveedores.java,7,14,17
Java,.\Proyecto-sayonara-constru\src\proyectoconstru\conexion\Consulta.java,8,9,11
Java,.\Proyecto-sayonara-constru\src\modelodedatos\FuncionDeReporte.java,7,9,9
CSS,.\Proyecto-sayonara-constru\src\proyectoconstru\VentanaLogin\theme.css,2,0,8
Java,.\Proyecto-sayonara-constru\src\modelodedatos\Administrador.java,3,9,6
XML,.\Proyecto-sayonara-constru\build.xml,10,39,4
Markdown,.\Proyecto-sayonara-constru\README.md,0,0,1
SUM,,1474,1840,12699
